Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Manifestations of Alzheimer's disease genetic risk in the blood are evident in a multiomic analysis in healthy adults aged 18 to 90.,Heath L.; Earls JC.; Magis AT.; Kornilov SA.; Lovejoy JC.; Funk CC.; Rappaport N.; Logsdon BA.; Mangravite LM.; Kunkle BW.; Martin ER.; Naj AC.; Ertekin-Taner N.; Golde TE.; Hood L.; Price ND.;  .,"Genetics play an important role in late-onset Alzheimer's Disease (AD) etiology and dozens of genetic variants have been implicated in AD risk through large-scale GWAS meta-analyses. However, the precise mechanistic effects of most of these variants have yet to be determined. Deeply phenotyped cohort data can reveal physiological changes associated with genetic risk for AD across an age spectrum that may provide clues to the biology of the disease. We utilized over 2000 high-quality quantitative measurements obtained from blood of 2831 cognitively normal adult clients of a consumer-based scientific wellness company, each with CLIA-certified whole-genome sequencing data. Measurements included: clinical laboratory blood tests, targeted chip-based proteomics, and metabolomics. We performed a phenome-wide association study utilizing this diverse blood marker data and 25 known AD genetic variants and an AD-specific polygenic risk score (PGRS), adjusting for sex, age, vendor (for clinical labs), and the first four genetic principal components; sex-SNP interactions were also assessed. We observed statistically significant SNP-analyte associations for five genetic variants after correction for multiple testing (for SNPs in or near NYAP1, ABCA7, INPP5D, and APOE), with effects detectable from early adulthood. The ABCA7 SNP and the APOE2 and APOE4 encoding alleles were associated with lipid variability, as seen in previous studies; in addition, six novel proteins were associated with the e2 allele. The most statistically significant finding was between the NYAP1 variant and PILRA and PILRB protein levels, supporting previous functional genomic studies in the identification of a putative causal variant within the PILRA gene. We did not observe associations between the PGRS and any analyte. Sex modified the effects of four genetic variants, with multiple interrelated immune-modulating effects associated with the PICALM variant. In post-hoc analysis, sex-stratified GWAS results from an independent AD case-control meta-analysis supported sex-specific disease effects of the PICALM variant, highlighting the importance of sex as a biological variable. Known AD genetic variation influenced lipid metabolism and immune response systems in a population of non-AD individuals, with associations observed from early adulthood onward. Further research is needed to determine whether and how these effects are implicated in early-stage biological pathways to AD. These analyses aim to complement ongoing work on the functional interpretation of AD-associated genetic variants.",2022,04,Scientific reports,12,1,6117,,10.1038/s41598-022-09825-2,35413975,#1609,Heath 2022,"",""
Sensitivity to gene dosage and gene expression affects genes with copy number variants observed among neuropsychiatric diseases.,Yamasaki M.; Makino T.; Khor SS.; Toyoda H.; Miyagawa T.; Liu X.; Kuwabara H.; Kano Y.; Shimada T.; Sugiyama T.; Nishida H.; Sugaya N.; Tochigi M.; Otowa T.; Okazaki Y.; Kaiya H.; Kawamura Y.; Miyashita A.; Kuwano R.; Kasai K.; Tanii H.; Sasaki T.; Honda M.; Tokunaga K.,"Copy number variants (CNVs) have been reported to be associated with diseases, traits, and evolution. However, it is hard to determine which gene should have priority as a target for further functional experiments if a CNV is rare or a singleton. In this study, we attempted to overcome this issue by using two approaches: by assessing the influences of gene dosage sensitivity and gene expression sensitivity. Dosage sensitive genes derived from two-round whole-genome duplication in previous studies. In addition, we proposed a cross-sectional omics approach that utilizes open data from GTEx to assess the effect of whole-genome CNVs on gene expression. Affymetrix Genome-Wide SNP Array 6.0 was used to detect CNVs by PennCNV and CNV Workshop. After quality controls for population stratification, family relationship and CNV detection, 287 patients with narcolepsy, 133 patients with essential hypersomnia, 380 patients with panic disorders, 164 patients with autism, 784 patients with Alzheimer disease and 1280 healthy individuals remained for the enrichment analysis. Overall, significant enrichment of dosage sensitive genes was found across patients with narcolepsy, panic disorders and autism. Particularly, significant enrichment of dosage-sensitive genes in duplications was observed across all diseases except for Alzheimer disease. For deletions, less or no enrichment of dosage-sensitive genes with deletions was seen in the patients when compared to the healthy individuals. Interestingly, significant enrichments of genes with expression sensitivity in brain were observed in patients with panic disorder and autism. While duplications presented a higher burden, deletions did not cause significant differences when compared to the healthy individuals. When we assess the effect of sensitivity to genome dosage and gene expression at the same time, the highest ratio of enrichment was observed in the group including dosage-sensitive genes and genes with expression sensitivity only in brain. In addition, shared CNV regions among the five neuropsychiatric diseases were also investigated. This study contributed the evidence that dosage-sensitive genes are associated with CNVs among neuropsychiatric diseases. In addition, we utilized open data from GTEx to assess the effect of whole-genome CNVs on gene expression. We also investigated shared CNV region among neuropsychiatric diseases.",2020,03,BMC medical genomics,13,1,55,,10.1186/s12920-020-0699-9,32223758,#1643,Yamasaki 2020,"",""
Similar Genetic Architecture of Alzheimer's Disease and Differential APOE Effect Between Sexes.,Wang H.; Lo MT.; Rosenthal SB.; Makowski C.; Andreassen OA.; Salem RM.; McEvoy LK.; Fiecas M.; Chen CH.,"Sex differences have been observed in the clinical manifestations of Alzheimer's disease (AD) and elucidating their genetic basis is an active research topic. Based on autosomal genotype data of 7,216 men and 10,680 women, including 8,136 AD cases and 9,760 controls, we explored sex-related genetic heterogeneity in AD by investigating SNP heritability, genetic correlation, as well as SNP- and gene-based genome-wide analyses. We found similar SNP heritability (men: 19.5%; women: 21.5%) and high genetic correlation (R g = 0.96) between the sexes. The heritability of APOE ε4-related risks for AD, after accounting for effects of all SNPs excluding chromosome 19, was nominally, but not significantly, higher in women (10.6%) than men (9.7%). In age-stratified analyses, ε3/ε4 was associated with a higher risk of AD among women than men aged 65-75 years, but not in the full sample. Apart from APOE, no new significant locus was identified in sex-stratified gene-based analyses. Our result of the high genetic correlation indicates overall similar genetic architecture of AD in both sexes at the genome-wide averaged level. Our study suggests that clinically observed sex differences may arise from sex-specific variants with small effects or more complicated mechanisms involving epigenetic alterations, sex chromosomes, or gene-environment interactions.",2021,,Frontiers in aging neuroscience,13,,674318,,10.3389/fnagi.2021.674318,34122051,#1567,Wang 2021,"",""
Alzheimer's disease genetic risk and sleep phenotypes in healthy young men: association with more slow waves and daytime sleepiness.,Muto V.; Koshmanova E.; Ghaemmaghami P.; Jaspar M.; Meyer C.; Elansary M.; Van Egroo M.; Chylinski D.; Berthomier C.; Brandewinder M.; Mouraux C.; Schmidt C.; Hammad G.; Coppieters W.; Ahariz N.; Degueldre C.; Luxen A.; Salmon E.; Phillips C.; Archer SN.; Yengo L.; Byrne E.; Collette F.; Georges M.; Dijk DJ.; Maquet P.; Visscher PM.; Vandewalle G.,"Sleep disturbances and genetic variants have been identified as risk factors for Alzheimer's disease (AD). Our goal was to assess whether genome-wide polygenic risk scores (PRS) for AD associate with sleep phenotypes in young adults, decades before typical AD symptom onset. We computed whole-genome PRS for AD and extensively phenotyped sleep under different sleep conditions, including baseline sleep, recovery sleep following sleep deprivation, and extended sleep opportunity, in a carefully selected homogenous sample of 363 healthy young men (22.1 years ± 2.7) devoid of sleep and cognitive disorders. AD PRS was associated with more slow-wave energy, that is, the cumulated power in the 0.5-4 Hz EEG band, a marker of sleep need, during habitual sleep and following sleep loss, and potentially with larger slow-wave sleep rebound following sleep deprivation. Furthermore, higher AD PRS was correlated with higher habitual daytime sleepiness. These results imply that sleep features may be associated with AD liability in young adults, when current AD biomarkers are typically negative, and support the notion that quantifying sleep alterations may be useful in assessing the risk for developing AD.",2021,01,Sleep,44,1,,,10.1093/sleep/zsaa137,32671396,#1636,Muto 2021,"",""
Careful feature selection is key in classification of Alzheimer's disease patients based on whole-genome sequencing data.,Osipowicz M.; Wilczynski B.; Machnicka MA.;  .,"Despite great increase of the amount of data from genome-wide association studies (GWAS) and whole-genome sequencing (WGS), the genetic background of a partially heritable Alzheimer's disease (AD) is not fully understood yet. Machine learning methods are expected to help researchers in the analysis of the large number of SNPs possibly associated with the disease onset. To date, a number of such approaches were applied to genotype-based classification of AD patients and healthy controls using GWAS data and reported accuracy of 0.65-0.975. However, since the estimated influence of genotype on sporadic AD occurrence is lower than that, these very high classification accuracies may potentially be a result of overfitting. We have explored the possibilities of applying feature selection and classification using random forests to WGS and GWAS data from two datasets. Our results suggest that this approach is prone to overfitting if feature selection is performed before division of data into the training and testing set. Therefore, we recommend avoiding selection of features used to build the model based on data included in the testing set. We suggest that for currently available dataset sizes the expected classifier performance is between 0.55 and 0.7 (AUC) and higher accuracies reported in literature are likely a result of overfitting.",2021,Sep,NAR genomics and bioinformatics,3,3,lqab069,,10.1093/nargab/lqab069,34327330,#1618,Osipowicz 2021,"",""
An optimal kernel-based multivariate U-statistic to test for associations with multiple phenotypes.,Wen Y.; Lu Q.,"Set-based analysis that jointly considers multiple predictors in a group has been broadly conducted for association tests. However, their power can be sensitive to the distribution of phenotypes, and the underlying relationships between predictors and outcomes. Moreover, most of the set-based methods are designed for single-trait analysis, making it hard to explore the pleiotropic effect and borrow information when multiple phenotypes are available. Here, we propose a kernel-based multivariate U-statistics (KMU) that is robust and powerful in testing the association between a set of predictors and multiple outcomes. We employed a rank-based kernel function for the outcomes, which makes our method robust to various outcome distributions. Rather than selecting a single kernel, our test statistics is built based on multiple kernels selected in a data-driven manner, and thus is capable of capturing various complex relationships between predictors and outcomes. The asymptotic properties of our test statistics have been developed. Through simulations, we have demonstrated that KMU has controlled type I error and higher power than its counterparts. We further showed its practical utility by analyzing a whole genome sequencing data from Alzheimer's Disease Neuroimaging Initiative study, where novel genes have been detected to be associated with imaging phenotypes.",2022,07,"Biostatistics (Oxford, England)",23,3,705-720,,10.1093/biostatistics/kxaa049,33108446,#1631,Wen 2022,"",""
Aβ-accelerated neurodegeneration caused by Alzheimer's-associated ACE variant R1279Q is rescued by angiotensin system inhibition in mice.,Cuddy LK.; Prokopenko D.; Cunningham EP.; Brimberry R.; Song P.; Kirchner R.; Chapman BA.; Hofmann O.; Hide W.; Procissi D.; Hanania T.; Leiser SC.; Tanzi RE.; Vassar R.,"Recent genome-wide association studies identified the angiotensin-converting enzyme gene (ACE) as an Alzheimer's disease (AD) risk locus. However, the pathogenic mechanism by which ACE causes AD is unknown. Using whole-genome sequencing, we identified rare ACE coding variants in AD families and investigated one, ACE1 R1279Q, in knockin (KI) mice. Similar to AD, ACE1 was increased in neurons, but not microglia or astrocytes, of KI brains, which became elevated further with age. Angiotensin II (angII) and angII receptor AT1R signaling were also increased in KI brains. Autosomal dominant neurodegeneration and neuroinflammation occurred with aging in KI hippocampus, which were absent in the cortex and cerebellum. Female KI mice exhibited greater hippocampal electroencephalograph disruption and memory impairment compared to males. ACE variant effects were more pronounced in female KI mice, suggesting a mechanism for higher AD risk in women. Hippocampal neurodegeneration was completely rescued by treatment with brain-penetrant drugs that inhibit ACE1 and AT1R. Although ACE variant-induced neurodegeneration did not depend on β-amyloid (Aβ) pathology, amyloidosis in 5XFAD mice crossed to KI mice accelerated neurodegeneration and neuroinflammation, whereas Aβ deposition was unchanged. KI mice had normal blood pressure and cerebrovascular functions. Our findings strongly suggest that increased ACE1/angII signaling causes aging-dependent, Aβ-accelerated selective hippocampal neuron vulnerability and female susceptibility, hallmarks of AD that have hitherto been enigmatic. We conclude that repurposed brain-penetrant ACE inhibitors and AT1R blockers may protect against AD.",2020,09,Science translational medicine,12,563,,,10.1126/scitranslmed.aaz2541,32998969,#1632,Cuddy 2020,"",""
Progranulin mutations in clinical and neuropathological Alzheimer's disease.,Vardarajan BN.; Reyes-Dumeyer D.; Piriz AL.; Lantigua RA.; Medrano M.; Rivera D.; Jiménez-Velázquez IZ.; Martin E.; Pericak-Vance MA.; Bush W.; Farrer L.; Haines JL.; Wang LS.; Leung YY.; Schellenberg G.; Kukull W.; De Jager P.; Bennett DA.; Schneider JA.;  .; Mayeux R.,"Progranulin (GRN) mutations occur in frontotemporal lobar degeneration (FTLD) and in Alzheimer's disease (AD), often with TDP-43 pathology. We determined the frequency of rs5848 and rare, pathogenic GRN mutations in two autopsy and one family cohort. We compared Braak stage, β-amyloid load, hyperphosphorylated tau (PHFtau) tangle density and TDP-43 pathology in GRN carriers and non-carriers. Pathogenic GRN mutations were more frequent in all cohorts compared to the Genome Aggregation Database (gnomAD), but there was no evidence for association with AD. Pathogenic GRN carriers had significantly higher PHFtau tangle density adjusting for age, sex and APOE ε4 genotype. AD patients with rs5848 had higher frequencies of hippocampal sclerosis and TDP-43 deposits. Twenty-two rare, pathogenic GRN variants were observed in the family cohort. GRN mutations in clinical and neuropathological AD increase the burden of tau-related brain pathology but show no specific association with β-amyloid load or AD.",2022,Feb,Alzheimer's & dementia : the journal of the Alzheimer's Association,,,,,10.1002/alz.12567,35258170,#1726,Vardarajan 2022,"",""
Network propagation of rare variants in Alzheimer's disease reveals tissue-specific hub genes and communities.,Scelsi MA.; Napolioni V.; Greicius MD.; Altmann A.;  .,"State-of-the-art rare variant association testing methods aggregate the contribution of rare variants in biologically relevant genomic regions to boost statistical power. However, testing single genes separately does not consider the complex interaction landscape of genes, nor the downstream effects of non-synonymous variants on protein structure and function. Here we present the NETwork Propagation-based Assessment of Genetic Events (NETPAGE), an integrative approach aimed at investigating the biological pathways through which rare variation results in complex disease phenotypes. We applied NETPAGE to sporadic, late-onset Alzheimer's disease (AD), using whole-genome sequencing from the AD Neuroimaging Initiative (ADNI) cohort, as well as whole-exome sequencing from the AD Sequencing Project (ADSP). NETPAGE is based on network propagation, a framework that models information flow on a graph and simulates the percolation of genetic variation through tissue-specific gene interaction networks. The result of network propagation is a set of smoothed gene scores that can be tested for association with disease status through sparse regression. The application of NETPAGE to AD enabled the identification of a set of connected genes whose smoothed variation profile was robustly associated to case-control status, based on gene interactions in the hippocampus. Additionally, smoothed scores significantly correlated with risk of conversion to AD in Mild Cognitive Impairment (MCI) subjects. Lastly, we investigated tissue-specific transcriptional dysregulation of the core genes in two independent RNA-seq datasets, as well as significant enrichments in terms of gene sets with known connections to AD. We present a framework that enables enhanced genetic association testing for a wide range of traits, diseases, and sample sizes.",2021,01,PLoS computational biology,17,1,e1008517,,10.1371/journal.pcbi.1008517,33411734,#1729,Scelsi 2021,"",""
Potential Novel Genes for Late-Onset Alzheimer's Disease in East-Asian Descent Identified by APOE-Stratified Genome-Wide Association Study.,Kang S.; Gim J.; Lee J.; Gunasekaran TI.; Choi KY.; Lee JJ.; Seo EH.; Ko PW.; Chung JY.; Choi SM.; Lee YM.; Jeong JH.; Park KW.; Song MK.; Lee HW.; Kim KW.; Choi SH.; Lee DY.; Kim SY.; Kim H.; Kim BC.; Ikeuchi T.; Lee KH.,"The present study reports two novel genome-wide significant loci for late-onset Alzheimer's disease (LOAD) identified from APOE ε4 non-carrier subjects of East Asian origin. A genome-wide association study of Alzheimer's disease was performed in 2,291 Korean seniors in the discovery phase, from the Gwangju Alzheimer' and Related Dementias (GARD) cohort study. The study was replicated in a Japanese cohort of 1,956 subjects that suggested two novel susceptible SNPs in two genes: LRIG1 and CACNA1A. This study demonstrates that the discovery of AD-associated variants is feasible in non-European ethnic groups using samples comprising fewer subjects from the more homogeneous genetic background.",2021,,Journal of Alzheimer's disease : JAD,82,4,1451-1460,,10.3233/JAD-210145,34151794,#1566,Kang 2021,"",""
Deep learning-based identification of genetic variants: application to Alzheimer's disease classification.,Jo T.; Nho K.; Bice P.; Saykin AJ.;  .,"Deep learning is a promising tool that uses nonlinear transformations to extract features from high-dimensional data. Deep learning is challenging in genome-wide association studies (GWAS) with high-dimensional genomic data. Here we propose a novel three-step approach (SWAT-CNN) for identification of genetic variants using deep learning to identify phenotype-related single nucleotide polymorphisms (SNPs) that can be applied to develop accurate disease classification models. In the first step, we divided the whole genome into nonoverlapping fragments of an optimal size and then ran convolutional neural network (CNN) on each fragment to select phenotype-associated fragments. In the second step, using a Sliding Window Association Test (SWAT), we ran CNN on the selected fragments to calculate phenotype influence scores (PIS) and identify phenotype-associated SNPs based on PIS. In the third step, we ran CNN on all identified SNPs to develop a classification model. We tested our approach using GWAS data from the Alzheimer's Disease Neuroimaging Initiative (ADNI) including (N = 981; cognitively normal older adults (CN) = 650 and AD = 331). Our approach identified the well-known APOE region as the most significant genetic locus for AD. Our classification model achieved an area under the curve (AUC) of 0.82, which was compatible with traditional machine learning approaches, random forest and XGBoost. SWAT-CNN, a novel deep learning-based genome-wide approach, identified AD-associated SNPs and a classification model for AD and may hold promise for a range of biomedical applications.",2022,03,Briefings in bioinformatics,23,2,,,10.1093/bib/bbac022,35183061,#1614,Jo 2022,"",""
Gene-mapping study of extremes of cerebral small vessel disease reveals TRIM47 as a strong candidate.,Mishra A.; Duplaà C.; Vojinovic D.; Suzuki H.; Sargurupremraj M.; Zilhão NR.; Li S.; Bartz TM.; Jian X.; Zhao W.; Hofer E.; Wittfeld K.; Harris SE.; van der Auwera-Palitschka S.; Luciano M.; Bis JC.; Adams HHH.; Satizabal CL.; Gottesman RF.; Gampawar PG.; Bülow R.; Weiss S.; Yu M.; Bastin ME.; Lopez OL.; Vernooij MW.; Beiser AS.; Völker U.; Kacprowski T.; Soumare A.; Smith JA.; Knopman DS.; Morris Z.; Zhu Y.; Rotter JI.; Dufouil C.; Valdés Hernández M.; Muñoz Maniega S.; Lathrop M.; Boerwinkle E.; Schmidt R.; Ihara M.; Mazoyer B.; Yang Q.; Joutel A.; Tournier-Lasserve E.; Launer LJ.; Deary IJ.; Mosley TH.; Amouyel P.; DeCarli CS.; Psaty BM.; Tzourio C.; Kardia SLR.; Grabe HJ.; Teumer A.; van Duijn CM.; Schmidt H.; Wardlaw JM.; Ikram MA.; Fornage M.; Gudnason V.; Seshadri S.; Matthews PM.; Longstreth WT.; Couffinhal T.; Debette S.,"Cerebral small vessel disease is a leading cause of stroke and a major contributor to cognitive decline and dementia, but our understanding of specific genes underlying the cause of sporadic cerebral small vessel disease is limited. We report a genome-wide association study and a whole-exome association study on a composite extreme phenotype of cerebral small vessel disease derived from its most common MRI features: white matter hyperintensities and lacunes. Seventeen population-based cohorts of older persons with MRI measurements and genome-wide genotyping (n = 41 326), whole-exome sequencing (n = 15 965), or exome chip (n = 5249) data contributed 13 776 and 7079 extreme small vessel disease samples for the genome-wide association study and whole-exome association study, respectively. The genome-wide association study identified significant association of common variants in 11 loci with extreme small vessel disease, of which the chr12q24.11 locus was not previously reported to be associated with any MRI marker of cerebral small vessel disease. The whole-exome association study identified significant associations of extreme small vessel disease with common variants in the 5' UTR region of EFEMP1 (chr2p16.1) and one probably damaging common missense variant in TRIM47 (chr17q25.1). Mendelian randomization supports the causal association of extensive small vessel disease severity with increased risk of stroke and Alzheimer's disease. Combined evidence from summary-based Mendelian randomization studies and profiling of human loss-of-function allele carriers showed an inverse relation between TRIM47 expression in the brain and blood vessels and extensive small vessel disease severity. We observed significant enrichment of Trim47 in isolated brain vessel preparations compared to total brain fraction in mice, in line with the literature showing Trim47 enrichment in brain endothelial cells at single cell level. Functional evaluation of TRIM47 by small interfering RNAs-mediated knockdown in human brain endothelial cells showed increased endothelial permeability, an important hallmark of cerebral small vessel disease pathology. Overall, our comprehensive gene-mapping study and preliminary functional evaluation suggests a putative role of TRIM47 in the pathophysiology of cerebral small vessel disease, making it an important candidate for extensive in vivo explorations and future translational work.",2022,06,Brain : a journal of neurology,145,6,1992-2007,,10.1093/brain/awab432,35511193,#1608,Mishra 2022,"",""
